sku,product_name,stock,hpp,price,brand_id,supplier_id,seq
MAS060,JSF Cabe Bubuk Halus 100gr,10,8880,15000,,,92
MAS061,JSF Kizami Nori 100gr,13,60773,75000,,,93
MAS062,JSF Kizami Nori 20gr,9,12155,18000,,,94
MAS063,JSF Kimchi 200gr,28,13636,18000,,,95
MAS064,JSF Biji Wijen Panggang 50gr,56,11100,16000,,,96
MAS065,Oppa Odeng 1kg,12,61050,74000,,,97
MAS066,Oppa Hotbar 500gr,8,31080,44000,,,98
MAS068,Oppa Odeng 200gr + Bumbu,29,21090,28000,,,99
MAS069,JSF Rice Paper Bulat 200gr,28,15396,20000,,,100
MAS070,JSF Rice Paper Bulat 500gr,21,38084,47000,,,101
JSF001,JSF Rice Paper Kotak 200gr,23,15396,20000,,,102
JSF002,JSF Rice Paper Kotak 500gr,22,38084,47000,,,103
JSF003,DANMUJI PANJANG 300 GR,55,16206,20500,,,104
JSF004,Minyak Wijen Java Superfood 135ml,19,16239,20500,,,105
JSF005,NORI ONIGIRI 10 LEMBAR,0,18870,23500,,,106
JSF006,NORI ONIGIRI 20 LEMBAR,0,36797,45000,,,107
JSF007,NORI ONIGIRI 50 LEMBAR,0,93407,109000,,,108
JSF008,Aonori 500gr,0,161250,190000,,,109
JSF009,Aonori REPACK 100gr ,0,32250,45000,,,110
JSF010,Aonori REPACK 50gr ,0,16125,25000,,,111
JSF011,Nori Tabur Rasa Original 60gr,48,15396,19500,,,112
JSF012,Nori Tabur Rasa Sapi 60gr,22,19448,24000,,,113
JSF013,Nori Tabur Rasa BBQ 60gr,8,17017,21500,,,114
JSF014,Nori Tabur Rasa Pedas 60gr,12,15396,19500,,,115
JSF020,Nori Tabur Rasa Seafood 60gr,20,15396,19500,,,116
JSF015,Minyak Cabai Santuy 135ml,8,13590,17500,,,117
JSF016,Minyak Cabai Mantul 135ml,5,14408,18000,,,118
JSF017,Minyak Cabai Pedas Gila 135ml,6,15263,19000,,,119
JSF018,Bumbu Odeng 500gr,10,64935,80000,,,120
JSF019,Bumbu Odeng REPACK 50gr,7,6494,12000,,,121
JSF021,Vermicelli 500gr,3,32412,40000,,,122
EMPTY3,,,,,,,123
DSHI250,Dry Shirataki 200gr,30,35900,43000,,,124
DWAK50,Dried Cut Wakame 50 gr repack,19,15700,22000,,,125
DWAK500,Dried Cut Wakame 500 gr,4,157000,180000,,,126
KOMB50,Dashi Konbu 50 gr repack,17,10900,18000,,,127
,Dashi Konbu 500gr,3,109000,0,,,128
FMISO,Furosato Miso 1kg,9,38000,48000,,,129
EMPTY4,,,,,,,130
IND001,Daging sapi - US Shortplate Beef Slice /pack +-500 Gram,23,62500,73500,,,131
IND008,Daging Giling Premium / Premium Ribeye Ground Beef - LOW FAT,1,65000,82500,,,132
IND009,Premium Yakiniku - US Certified Angus Beef (A002),13,48500,60000,,,133
EMPTY5,,,,,,,134
SAL200,Salmon 200gr,30,42000,56000,,,135
CHWK1KG,Chuka Wakame 1 kg,3,74400,95000,,,136
CHWK200,Chuka Wakame 200 gr,10,14880,27000,,,137
CHKU1KG,Chuka Kurage 1 kg,0,118000,140000,,,138
CHKU200,Chuka Kurage 200 gr,0,23800,33000,,,139
EMPTY6,,,,,,,140
TOK50S,Tokinori nori 50s,23,80000,90000,,,141
TOK10S,Tokinori nori 10s,70,20000,25000,,,142
SAK50S,Sakao nori 50s,14,75000,84500,,,143
SAK20S,Sakao nori 20s,22,33000,39000,,,144
SAK5S,Sakao nori 5s,19,10000,13500,,,145
EMPTY7,,,,,,,146
SEMUDON,Udon 200gr,33,7774,10500,,,147
KAT50,Katsuoboshi Repack 50gr,22,12500,21000,,,148
KAT500,Katsuoboshi 500gr,7,125000,145000,,,149
CETONI,Cetakan Onigiri,54,12000,18000,,,150
SUSMAT,Sushi Mat,68,5450,9600,,,151
EMPTY8,,,,,,,152
NIC001a,ayam tidak pedas 100gr,12,9500,13000,,,153
NIC002a,ayam pedas sedang 100gr,0,9500,13000,,,154
NIC003a,ayam super pedas 100gr,3,9500,13000,,,155
NIC004a,sapi tidak pedas 100gr,15,9500,13000,,,156
NIC005a,sapi pedas sedang 100gr,15,9500,13000,,,157
NIC006a,sapi super pedas 100gr,10,9500,13000,,,158
NIC007a,jamur tidak pedas 100gr,0,11500,14000,,,159
NIC008a,jamur pedas sedang 100gr,0,11500,14000,,,160
NIC009a,jamur super pedas 100gr,4,11500,14000,,,161
NIC011,ayam tidak pedas 200gr,8,15500,21000,,,162
NIC012,ayam pedas sedang 200gr,15,15500,21000,,,163
NIC013,ayam super pedas 200gr,6,15500,21000,,,164
NIC014,sapi tidak pedas 200gr,15,15500,21000,,,165
NIC015,sapi pedas sedang 200gr,2,15500,21000,,,166
NIC016,sapi super pedas 200gr,5,15500,21000,,,167
EMPTY9,,,,,,,168
CJO001,[K23] 50GR DRIED SEAWEED,39,22540,28000,,,169
CJO002,[K24] 100GR DRIED SEAWEED,32,41362,49000,,,170
CJO003,Beef galbi marinade 280g,31,20691,26000,,,171
CJO004,Beef galbi marinade 500g,28,32089,39000,,,172
CJO005,OFOOD BBQ Bulgogi sauce for Beef 280gr,27,20290,25500,,,173
